,dates,PM25,PM10,NO,NO2,NOx,Ozone,SO2
96,2020-01-01 00:00:00,424.46,,245.92,25.93,210.53,2.08,32.9
97,2020-01-01 00:15:00,429.54,,279.84,22.4,235.79,2.14,34.05
98,2020-01-01 00:30:00,429.54,,208.68,26.48,181.03,2.2,35.06
99,2020-01-01 00:45:00,429.54,,150.3,22.7,132.31,1.65,36.13
100,2020-01-01 01:00:00,469.4,,138.26,21.17,121.87,3.23,37.29
101,2020-01-01 01:15:00,476.13,,145.04,24.71,129.18,1.96,39.19
102,2020-01-01 01:30:00,476.13,,151.29,26.74,135.25,2.54,40.57
103,2020-01-01 01:45:00,476.13,,151.62,26.46,135.37,4.91,41.47
104,2020-01-01 02:00:00,467.59,,145.59,27.23,130.95,1.16,41.7
105,2020-01-01 02:15:00,466.28,,135.95,27.07,123.16,1.81,42.08
106,2020-01-01 02:30:00,466.28,,138.42,25.09,124.08,0.99,41.69
107,2020-01-01 02:45:00,466.28,,126.28,24.33,113.96,3.21,41.19
108,2020-01-01 03:00:00,432.48,,115.62,23.92,105.22,2.61,40.34
109,2020-01-01 03:15:00,427.29,,126.97,22.64,113.62,1.51,39.37
110,2020-01-01 03:30:00,427.29,,125.45,20.38,111.2,2.66,39.15
111,2020-01-01 03:45:00,427.29,,160.95,21.17,140.02,2.86,38.76
112,2020-01-01 04:00:00,403.75,,199.07,18.67,169.19,3.61,39.47
113,2020-01-01 04:15:00,400.13,,237.03,17.04,198.69,2.41,39.58
114,2020-01-01 04:30:00,400.13,,223.8,15.37,187.22,4.96,40.23
115,2020-01-01 04:45:00,400.13,,198.75,13.94,166.42,1.95,40.57
116,2020-01-01 05:00:00,395.06,,170.72,14.09,144.07,4.76,41.08
117,2020-01-01 05:15:00,394.28,,165.44,13.31,139.43,5.29,40.98
118,2020-01-01 05:30:00,394.28,,156.5,13.95,132.62,6.23,40.75
119,2020-01-01 05:45:00,394.28,,150.1,15.08,128.1,5.83,40.92
120,2020-01-01 06:00:00,362.06,,144.99,13.98,123.43,5.11,40.37
121,2020-01-01 06:15:00,357.11,,145.67,13.64,123.79,7.11,39.82
122,2020-01-01 06:30:00,357.11,,178.23,14.99,150.56,8.45,39.8
123,2020-01-01 06:45:00,357.11,,238.68,11.35,196.98,8.84,39.72
124,2020-01-01 07:00:00,381.26,,249.48,10.59,205.21,11.53,39.94
125,2020-01-01 07:15:00,384.98,,261.07,12.84,215.68,11.18,40.43
126,2020-01-01 07:30:00,384.98,,294.55,14.88,243.55,5.07,40.64
127,2020-01-01 07:45:00,384.98,,274.37,15.79,227.89,6.15,40.8
128,2020-01-01 08:00:00,423.34,,262.87,12.23,216.8,3.54,41.26
129,2020-01-01 08:15:00,429.24,,249.08,13.13,206.25,4.16,40.58
130,2020-01-01 08:30:00,429.24,,231.25,15.86,193.44,6.47,41.03
131,2020-01-01 08:45:00,429.24,,212.75,16.75,179.11,5.23,42.59
132,2020-01-01 09:00:00,419.79,,186.33,27.81,163.86,16.49,53.28
133,2020-01-01 09:15:00,418.34,,107.03,64.35,119.85,89.77,55.7
134,2020-01-01 09:30:00,418.34,,78.9,89.64,110.8,93.6,56.32
135,2020-01-01 09:45:00,418.34,,70.38,117.2,118.64,91.02,55.44
136,2020-01-01 10:00:00,399.68,,48.18,110.3,97.21,86.83,53.84
137,2020-01-01 10:15:00,396.81,,35.93,98.03,80.89,77.04,51.78
138,2020-01-01 10:30:00,396.81,,26.93,86.33,67.46,57.53,50.29
139,2020-01-01 10:45:00,396.81,,20.32,77.13,57.28,41.28,50.48
140,2020-01-01 11:00:00,332.28,,18.97,72.74,53.86,38.72,48.21
141,2020-01-01 11:15:00,322.36,,14.8,73.55,50.97,22.1,47.52
142,2020-01-01 11:30:00,322.36,,10.6,71.8,46.67,20.51,47.47
143,2020-01-01 11:45:00,322.36,,7.26,64.71,40.23,24.4,47.17
144,2020-01-01 12:00:00,264.1,,5.18,55.82,33.84,25.88,44.5
145,2020-01-01 12:15:00,255.14,,4.08,42.8,26.03,32.98,44.72
146,2020-01-01 12:30:00,255.14,,3.46,40.09,24.09,33.49,40.98
147,2020-01-01 12:45:00,255.14,,3.41,37.73,22.79,37.14,40.03
148,2020-01-01 13:00:00,207.04,,3.79,35.74,22.04,46.35,39.31
149,2020-01-01 13:15:00,199.64,,4.04,34.03,21.33,51.47,37.27
150,2020-01-01 13:30:00,199.64,,4.36,34.84,22.02,54.84,37.59
151,2020-01-01 13:45:00,199.64,,3.49,33.8,20.78,55.34,39.59
152,2020-01-01 14:00:00,163.81,,3.3,32.4,19.88,58.4,40.13
153,2020-01-01 14:15:00,158.3,,3.28,32.37,19.84,60.66,40.37
154,2020-01-01 14:30:00,158.3,,3.4,30.77,19.09,62.52,41.53
155,2020-01-01 14:45:00,158.3,,3.1,29.81,18.33,58.34,42.3
156,2020-01-01 15:00:00,162.71,,2.55,30.66,18.35,62.91,42.03
157,2020-01-01 15:15:00,163.38,,2.66,29.12,17.62,59.37,44.15
158,2020-01-01 15:30:00,163.38,,2.66,29.72,17.94,61.49,44.92
159,2020-01-01 15:45:00,163.38,,2.8,30.99,18.72,59.98,45.96
160,2020-01-01 16:00:00,144.62,,3.01,30.33,18.54,61.71,45.5
161,2020-01-01 16:15:00,141.74,,2.58,31.79,18.97,52.82,45.7
162,2020-01-01 16:30:00,141.74,,2.8,34.85,20.78,48.13,43.25
163,2020-01-01 16:45:00,141.74,,3.21,37.82,22.68,44.26,42.41
164,2020-01-01 17:00:00,153.4,,3.18,40.87,24.28,28.24,43.0
165,2020-01-01 17:15:00,155.2,,2.85,45.17,26.31,21.47,43.61
166,2020-01-01 17:30:00,155.2,,3.15,47.66,27.87,15.42,44.85
167,2020-01-01 17:45:00,155.2,,19.01,61.44,47.88,8.74,46.86
168,2020-01-01 18:00:00,176.71,,50.86,60.51,72.88,8.88,45.33
169,2020-01-01 18:15:00,180.02,,27.7,59.97,54.06,8.37,45.49
170,2020-01-01 18:30:00,180.02,,45.17,55.8,65.82,10.41,49.7
171,2020-01-01 18:45:00,180.02,,51.16,58.27,71.92,8.21,51.86
172,2020-01-01 19:00:00,212.56,,38.49,54.71,59.89,6.9,52.29
173,2020-01-01 19:15:00,217.56,,58.49,61.04,79.26,12.24,53.22
174,2020-01-01 19:30:00,217.56,,58.21,55.6,76.14,6.54,56.31
175,2020-01-01 19:45:00,217.56,,58.27,47.98,72.14,6.7,59.28
176,2020-01-01 20:00:00,359.18,,69.38,46.39,80.18,3.03,65.08
177,2020-01-01 20:15:00,380.97,,96.09,48.87,102.86,2.47,65.44
178,2020-01-01 20:30:00,380.97,,117.68,45.67,118.44,4.02,67.84
179,2020-01-01 20:45:00,380.97,,176.88,48.26,167.17,4.47,73.0
180,2020-01-01 21:00:00,503.52,,170.81,45.09,160.63,5.25,77.28
181,2020-01-01 21:15:00,522.37,,176.57,43.98,164.65,6.52,81.2
182,2020-01-01 21:30:00,522.37,,178.3,45.91,167.06,4.89,85.74
183,2020-01-01 21:45:00,522.37,,177.68,41.14,164.03,5.34,89.75
184,2020-01-01 22:00:00,623.71,,194.49,38.8,176.24,7.55,93.14
185,2020-01-01 22:15:00,639.3,,215.54,37.32,192.28,7.17,97.63
186,2020-01-01 22:30:00,639.3,,206.02,32.42,182.06,6.33,101.37
187,2020-01-01 22:45:00,639.3,,232.02,32.19,202.74,5.96,104.91
188,2020-01-01 23:00:00,710.46,,244.9,32.64,213.28,4.47,108.44
189,2020-01-01 23:15:00,721.41,,244.5,31.57,212.39,5.07,110.1
190,2020-01-01 23:30:00,721.41,,247.48,31.29,214.62,5.71,111.81
191,2020-01-01 23:45:00,,,,,,,
192,2020-01-02 00:00:00,684.0,,254.08,27.45,217.86,6.25,112.65
193,2020-01-02 00:15:00,678.25,,248.97,25.18,212.57,4.55,113.11
194,2020-01-02 00:30:00,678.25,,244.45,23.82,208.23,5.15,112.58
195,2020-01-02 00:45:00,678.25,,243.51,23.67,207.4,6.53,111.1
196,2020-01-02 01:00:00,669.97,,246.77,23.91,210.14,4.01,110.66
197,2020-01-02 01:15:00,668.7,,261.17,22.93,221.13,3.25,110.9
198,2020-01-02 01:30:00,668.7,,310.89,22.95,260.92,2.74,109.31
199,2020-01-02 01:45:00,668.7,,334.69,18.4,277.54,5.29,111.46
200,2020-01-02 02:00:00,650.86,,316.93,18.01,263.12,5.05,111.84
201,2020-01-02 02:15:00,648.12,,312.12,17.84,259.19,4.82,109.02
202,2020-01-02 02:30:00,648.12,,304.66,16.29,252.39,4.8,106.77
203,2020-01-02 02:45:00,648.12,,288.26,15.04,238.61,3.4,106.69
204,2020-01-02 03:00:00,590.15,,292.55,14.67,241.84,5.17,106.14
205,2020-01-02 03:15:00,581.23,,298.33,14.79,246.53,6.09,104.89
206,2020-01-02 03:30:00,581.23,,294.61,14.23,243.25,5.45,103.02
207,2020-01-02 03:45:00,581.23,,304.75,12.28,250.33,4.9,103.17
208,2020-01-02 04:00:00,578.85,,320.24,11.41,262.26,4.92,102.02
209,2020-01-02 04:15:00,578.48,,315.24,11.51,258.31,3.05,100.84
210,2020-01-02 04:30:00,578.48,,339.44,8.17,275.9,5.52,101.68
211,2020-01-02 04:45:00,578.48,,325.77,8.92,265.36,5.92,101.2
212,2020-01-02 05:00:00,560.64,,296.0,9.43,241.82,8.48,99.85
213,2020-01-02 05:15:00,557.89,,247.96,11.02,204.23,16.33,97.92
214,2020-01-02 05:30:00,557.89,,225.68,11.83,186.84,20.63,96.46
215,2020-01-02 05:45:00,557.89,,219.1,13.27,182.34,14.66,83.59
216,2020-01-02 06:00:00,493.8,,192.19,14.07,161.24,10.17,78.32
217,2020-01-02 06:15:00,483.94,,172.66,15.79,146.52,8.13,75.5
218,2020-01-02 06:30:00,483.94,,168.99,12.71,141.95,6.39,73.99
219,2020-01-02 06:45:00,483.94,,144.07,13.78,122.58,6.66,71.46
220,2020-01-02 07:00:00,436.18,,136.46,13.53,116.37,11.13,69.61
221,2020-01-02 07:15:00,428.83,,126.84,14.05,108.95,13.94,69.2
222,2020-01-02 07:30:00,428.83,,125.02,14.06,107.5,20.51,71.18
223,2020-01-02 07:45:00,428.83,,137.08,16.74,118.57,24.07,65.48
224,2020-01-02 08:00:00,376.27,,135.77,15.16,116.68,15.18,62.78
225,2020-01-02 08:15:00,368.18,,168.5,14.03,142.04,17.03,62.86
226,2020-01-02 08:30:00,368.18,,149.0,18.0,128.77,19.5,63.14
227,2020-01-02 08:45:00,368.18,,181.46,31.58,161.96,17.85,63.54
228,2020-01-02 09:00:00,329.17,,217.15,63.77,207.64,17.18,65.15
229,2020-01-02 09:15:00,323.17,,169.19,97.9,187.43,14.03,66.49
230,2020-01-02 09:30:00,323.17,,118.49,139.81,169.16,16.43,66.2
231,2020-01-02 09:45:00,323.17,,91.83,144.7,150.44,14.53,67.95
232,2020-01-02 10:00:00,383.01,,69.23,141.08,130.43,10.68,68.84
233,2020-01-02 10:15:00,392.21,,61.48,139.23,123.24,9.23,68.78
234,2020-01-02 10:30:00,392.21,,44.16,141.62,110.66,8.73,67.85
235,2020-01-02 10:45:00,392.21,,29.72,138.25,97.31,8.57,65.33
236,2020-01-02 11:00:00,371.49,,25.38,135.7,92.49,7.76,63.59
237,2020-01-02 11:15:00,368.3,,21.58,126.55,84.58,4.77,62.58
238,2020-01-02 11:30:00,368.3,,16.05,108.42,70.51,3.12,53.51
239,2020-01-02 11:45:00,368.3,,10.95,92.98,58.22,8.13,50.76
240,2020-01-02 12:00:00,343.3,,8.41,85.82,52.38,10.06,49.25
241,2020-01-02 12:15:00,339.45,,6.31,80.09,47.65,12.36,46.51
242,2020-01-02 12:30:00,339.45,,5.46,69.61,41.39,20.98,43.78
243,2020-01-02 12:45:00,339.45,,4.56,52.02,31.32,25.68,43.0
244,2020-01-02 13:00:00,277.87,,4.03,45.99,27.69,32.03,41.61
245,2020-01-02 13:15:00,268.4,,3.36,46.12,27.22,44.75,38.41
246,2020-01-02 13:30:00,268.4,,3.09,45.98,26.93,56.28,34.85
247,2020-01-02 13:45:00,268.4,,2.94,45.35,26.47,59.61,33.81
248,2020-01-02 14:00:00,210.05,,3.21,44.26,26.11,65.71,35.17
249,2020-01-02 14:15:00,201.08,,3.46,42.89,25.58,59.76,33.89
250,2020-01-02 14:30:00,201.08,,3.03,43.63,25.63,50.52,35.03
251,2020-01-02 14:45:00,201.08,,2.85,43.63,25.48,47.52,38.71
252,2020-01-02 15:00:00,146.65,,2.84,42.46,24.86,43.98,37.01
253,2020-01-02 15:15:00,138.28,,2.6,43.18,25.05,41.86,31.79
254,2020-01-02 15:30:00,138.28,,2.27,45.28,25.9,46.29,27.85
255,2020-01-02 15:45:00,138.28,,2.47,47.22,27.09,53.22,25.54
256,2020-01-02 16:00:00,91.68,,3.01,49.06,28.5,53.27,24.35
257,2020-01-02 16:15:00,84.02,,3.63,52.0,30.57,38.03,23.25
258,2020-01-02 16:30:00,84.02,,3.93,51.89,30.74,27.7,22.87
259,2020-01-02 16:45:00,84.02,,3.84,53.18,31.36,22.97,24.39
260,2020-01-02 17:00:00,144.94,,3.28,51.63,30.08,23.15,25.99
261,2020-01-02 17:15:00,154.32,,3.28,53.43,31.05,14.66,27.89
262,2020-01-02 17:30:00,154.32,,28.58,62.77,56.26,4.43,30.76
263,2020-01-02 17:45:00,154.32,,123.53,75.95,139.22,1.11,34.64
264,2020-01-02 18:00:00,190.21,,61.51,72.07,87.55,1.14,35.47
265,2020-01-02 18:15:00,195.73,,69.78,64.67,90.22,1.8,35.93
266,2020-01-02 18:30:00,195.73,,156.47,67.79,161.24,1.04,36.11
267,2020-01-02 18:45:00,195.73,,191.88,65.17,188.17,1.82,34.69
268,2020-01-02 19:00:00,222.91,,150.92,60.68,153.01,2.95,31.79
269,2020-01-02 19:15:00,227.09,,164.17,59.34,162.9,3.69,30.91
270,2020-01-02 19:30:00,227.09,,198.38,61.93,191.64,3.08,34.16
271,2020-01-02 19:45:00,227.09,,175.97,59.56,172.45,7.12,36.78
272,2020-01-02 20:00:00,292.23,,263.73,58.34,242.01,8.33,35.85
273,2020-01-02 20:15:00,302.25,,308.32,60.75,278.97,7.8,39.36
274,2020-01-02 20:30:00,302.25,,216.0,54.04,201.55,4.09,42.01
275,2020-01-02 20:45:00,302.25,,317.75,60.82,286.55,8.83,45.71
276,2020-01-02 21:00:00,379.04,,274.42,57.74,250.25,3.23,50.08
277,2020-01-02 21:15:00,390.86,,243.21,63.31,228.25,6.58,52.55
278,2020-01-02 21:30:00,390.86,,227.9,60.44,214.47,4.13,55.37
279,2020-01-02 21:45:00,390.86,,163.15,60.31,162.6,2.93,56.67
280,2020-01-02 22:00:00,468.72,,123.44,58.43,129.83,3.65,57.13
281,2020-01-02 22:15:00,480.7,,125.23,54.5,129.18,4.54,57.01
282,2020-01-02 22:30:00,480.7,,113.0,50.65,117.34,1.79,56.13
283,2020-01-02 22:45:00,480.7,,112.11,46.57,114.46,4.71,55.03
284,2020-01-02 23:00:00,385.43,,99.92,43.85,103.26,3.84,53.14
285,2020-01-02 23:15:00,370.78,,96.23,40.74,98.65,2.92,51.62
286,2020-01-02 23:30:00,370.78,,94.27,39.12,96.23,2.12,50.6
287,2020-01-02 23:45:00,,,,,,,
288,2020-01-03 00:00:00,300.75,,85.83,33.07,86.25,5.26,47.34
289,2020-01-03 00:15:00,289.98,,81.44,28.1,80.1,3.28,45.72
290,2020-01-03 00:30:00,289.98,,69.47,24.33,68.52,5.25,44.14
291,2020-01-03 00:45:00,289.98,,73.68,23.98,71.7,5.17,42.74
292,2020-01-03 01:00:00,250.87,,115.25,22.69,104.27,5.93,41.46
293,2020-01-03 01:15:00,244.85,,166.03,19.33,143.11,5.7,40.33
294,2020-01-03 01:30:00,244.85,,168.53,19.02,144.94,7.81,40.04
295,2020-01-03 01:45:00,244.85,,159.89,14.86,135.82,8.41,38.81
296,2020-01-03 02:00:00,227.16,,160.02,15.67,136.35,5.45,38.54
297,2020-01-03 02:15:00,224.44,,142.62,16.82,123.04,3.24,37.92
298,2020-01-03 02:30:00,224.44,,141.76,16.36,122.11,4.85,37.47
299,2020-01-03 02:45:00,224.44,,145.84,16.44,125.42,5.25,37.28
300,2020-01-03 03:00:00,217.48,,142.5,15.21,122.09,2.95,37.12
301,2020-01-03 03:15:00,216.41,,158.32,12.29,133.2,3.8,37.06
302,2020-01-03 03:30:00,216.41,,238.87,12.42,197.7,4.84,37.91
303,2020-01-03 03:45:00,216.41,,245.34,8.93,201.02,4.04,37.61
304,2020-01-03 04:00:00,207.54,,228.0,10.16,187.8,1.95,37.69
305,2020-01-03 04:15:00,206.18,,186.18,10.61,154.59,3.74,38.17
306,2020-01-03 04:30:00,206.18,,164.76,10.05,137.15,1.67,37.83
307,2020-01-03 04:45:00,206.18,,138.96,9.76,116.36,1.6,38.21
308,2020-01-03 05:00:00,186.72,,110.3,10.92,94.05,0.5,38.69
309,2020-01-03 05:15:00,183.72,,113.18,10.58,96.18,2.43,38.28
310,2020-01-03 05:30:00,183.72,,120.06,9.64,101.18,2.53,38.23
311,2020-01-03 05:45:00,183.72,,121.85,10.07,102.84,2.56,38.06
312,2020-01-03 06:00:00,194.65,,116.84,9.51,98.53,2.99,38.61
313,2020-01-03 06:15:00,196.33,,119.28,9.46,100.46,2.96,38.13
314,2020-01-03 06:30:00,196.33,,126.68,9.99,106.65,2.41,38.02
315,2020-01-03 06:45:00,196.33,,128.2,11.51,108.68,1.77,37.56
316,2020-01-03 07:00:00,184.29,,171.52,12.44,143.83,3.14,37.96
317,2020-01-03 07:15:00,182.43,,205.26,11.49,170.23,3.91,37.75
318,2020-01-03 07:30:00,182.43,,219.94,11.33,181.98,2.0,37.86
319,2020-01-03 07:45:00,182.43,,212.55,11.12,175.96,1.91,38.49
320,2020-01-03 08:00:00,198.23,,194.2,10.69,161.04,2.54,39.14
321,2020-01-03 08:15:00,200.66,,184.26,11.06,153.29,4.47,38.69
322,2020-01-03 08:30:00,200.66,,184.53,12.36,154.2,8.25,40.51
323,2020-01-03 08:45:00,200.66,,198.1,16.57,167.29,5.08,40.61
324,2020-01-03 09:00:00,256.12,,201.35,36.3,180.39,5.17,41.0
325,2020-01-03 09:15:00,264.65,,177.72,63.67,176.05,6.23,41.99
326,2020-01-03 09:30:00,264.65,,158.11,98.94,179.11,15.27,42.89
327,2020-01-03 09:45:00,264.65,,127.18,122.68,167.0,29.17,44.35
328,2020-01-03 10:00:00,309.49,,104.5,121.06,148.0,31.78,45.37
329,2020-01-03 10:15:00,316.67,,54.23,101.94,97.61,13.81,46.08
330,2020-01-03 10:30:00,316.67,,31.99,81.14,68.75,4.92,45.85
331,2020-01-03 10:45:00,316.67,,19.19,54.73,44.46,3.89,44.47
332,2020-01-03 11:00:00,264.26,,16.92,51.55,40.95,5.6,43.22
333,2020-01-03 11:15:00,256.2,,14.82,54.11,40.64,12.59,45.88
334,2020-01-03 11:30:00,256.2,,10.17,43.09,31.05,25.26,40.88
335,2020-01-03 11:45:00,256.2,,7.36,37.95,26.07,26.68,34.12
336,2020-01-03 12:00:00,169.59,,5.24,37.04,23.89,26.59,31.86
337,2020-01-03 12:15:00,156.27,,4.91,34.61,22.34,29.43,31.44
338,2020-01-03 12:30:00,156.27,,3.75,27.94,17.86,38.75,31.16
339,2020-01-03 12:45:00,156.27,,3.32,26.45,16.73,34.16,31.56
340,2020-01-03 13:00:00,108.16,,3.37,24.82,15.89,26.12,32.35
341,2020-01-03 13:15:00,100.76,,3.8,23.48,15.53,26.96,32.54
342,2020-01-03 13:30:00,100.76,,3.16,23.37,14.96,26.67,33.69
343,2020-01-03 13:45:00,100.76,,2.81,22.82,14.39,26.89,35.54
344,2020-01-03 14:00:00,81.28,,2.48,21.56,13.46,45.81,34.73
345,2020-01-03 14:15:00,78.29,,3.11,18.63,12.4,45.7,30.64
346,2020-01-03 14:30:00,78.29,,2.72,18.46,12.0,46.64,26.51
347,2020-01-03 14:45:00,78.29,,2.98,18.1,12.01,46.56,22.84
348,2020-01-03 15:00:00,57.75,,3.45,20.32,13.57,39.68,19.03
349,2020-01-03 15:15:00,54.59,,2.81,19.66,12.71,50.55,16.71
350,2020-01-03 15:30:00,54.59,,2.76,19.79,12.74,54.5,14.62
351,2020-01-03 15:45:00,54.59,,2.95,20.51,13.27,54.72,13.2
352,2020-01-03 16:00:00,60.98,,2.75,21.32,13.54,53.1,12.4
353,2020-01-03 16:15:00,61.97,,3.04,21.2,13.71,48.76,11.75
354,2020-01-03 16:30:00,61.97,,2.8,22.65,14.29,47.62,11.21
355,2020-01-03 16:45:00,61.97,,7.22,31.78,22.68,33.9,10.93
356,2020-01-03 17:00:00,67.94,,3.21,28.93,17.96,22.65,10.8
357,2020-01-03 17:15:00,68.86,,2.96,30.65,18.67,12.23,11.22
358,2020-01-03 17:30:00,68.86,,28.3,48.83,48.61,2.42,11.27
359,2020-01-03 17:45:00,68.86,,69.8,61.97,88.8,1.07,12.79
360,2020-01-03 18:00:00,89.59,,98.73,67.31,114.78,1.74,14.48
361,2020-01-03 18:15:00,92.78,,83.47,63.02,100.3,2.74,15.27
362,2020-01-03 18:30:00,92.78,,88.15,64.29,104.72,1.91,16.57
363,2020-01-03 18:45:00,92.78,,76.79,59.53,93.09,1.35,19.48
364,2020-01-03 19:00:00,125.65,,65.95,56.38,82.75,4.12,21.46
365,2020-01-03 19:15:00,130.71,,99.52,63.46,113.37,7.61,22.34
366,2020-01-03 19:30:00,130.71,,156.74,66.2,160.61,7.62,24.09
367,2020-01-03 19:45:00,130.71,,143.83,63.04,148.6,6.23,25.89
368,2020-01-03 20:00:00,197.16,,126.98,57.54,132.19,5.47,28.03
369,2020-01-03 20:15:00,207.38,,117.15,55.28,123.12,6.09,30.1
370,2020-01-03 20:30:00,207.38,,92.37,54.76,103.03,5.83,30.88
371,2020-01-03 20:45:00,207.38,,98.7,46.24,103.56,6.48,31.49
372,2020-01-03 21:00:00,209.94,,80.16,43.76,87.4,4.18,32.63
373,2020-01-03 21:15:00,210.33,,71.35,40.99,78.88,5.01,32.83
374,2020-01-03 21:30:00,210.33,,68.12,39.01,75.25,5.73,33.63
375,2020-01-03 21:45:00,210.33,,79.59,36.11,82.88,4.95,33.96
376,2020-01-03 22:00:00,195.13,,98.15,35.47,97.38,5.0,33.35
377,2020-01-03 22:15:00,192.79,,84.73,31.7,84.65,2.54,33.14
378,2020-01-03 22:30:00,192.79,,90.11,31.51,88.85,2.44,32.95
379,2020-01-03 22:45:00,192.79,,88.62,30.34,87.03,0.34,33.15
380,2020-01-03 23:00:00,203.4,,128.24,28.33,117.66,,33.73
381,2020-01-03 23:15:00,205.03,,147.33,27.86,132.68,0.01,33.88
382,2020-01-03 23:30:00,205.03,,251.37,26.14,215.0,0.01,35.61
383,2020-01-03 23:45:00,,,,,,,
384,2020-01-04 00:00:00,225.88,,186.68,24.99,162.64,0.81,37.1
385,2020-01-04 00:15:00,229.08,,151.94,25.15,134.93,0.66,37.07
386,2020-01-04 00:30:00,229.08,,138.91,22.63,123.17,3.22,37.04
387,2020-01-04 00:45:00,229.08,,122.79,23.4,110.68,4.57,36.74
388,2020-01-04 01:00:00,203.92,,122.85,21.55,109.74,3.79,36.84
389,2020-01-04 01:15:00,200.05,,120.73,18.86,106.62,4.93,36.56
390,2020-01-04 01:30:00,200.05,,118.84,18.51,104.92,3.5,36.34
391,2020-01-04 01:45:00,200.05,,117.51,18.76,103.99,4.57,35.47
392,2020-01-04 02:00:00,215.26,,112.01,18.71,99.56,5.25,35.2
393,2020-01-04 02:15:00,217.6,,94.94,17.49,85.25,6.19,35.02
394,2020-01-04 02:30:00,217.6,,88.99,15.97,79.68,3.96,34.99
395,2020-01-04 02:45:00,217.6,,89.68,15.45,79.96,4.85,35.11
396,2020-01-04 03:00:00,201.58,,114.91,14.34,99.56,6.98,34.79
397,2020-01-04 03:15:00,199.12,,123.98,16.07,107.73,4.41,34.73
398,2020-01-04 03:30:00,199.12,,142.99,14.85,122.29,3.95,34.75
399,2020-01-04 03:45:00,199.12,,124.49,15.24,107.7,3.72,34.68
400,2020-01-04 04:00:00,208.14,,144.25,14.31,123.02,4.31,34.74
401,2020-01-04 04:15:00,209.53,,136.65,14.17,116.85,4.61,34.83
402,2020-01-04 04:30:00,209.53,,103.66,16.25,91.57,4.24,34.5
403,2020-01-04 04:45:00,209.53,,87.18,20.16,80.47,3.46,34.01
404,2020-01-04 05:00:00,188.07,,73.04,20.28,69.22,6.41,33.88
405,2020-01-04 05:15:00,184.77,,69.69,20.39,66.59,4.01,32.88
406,2020-01-04 05:30:00,184.77,,66.82,21.96,65.14,4.1,32.33
407,2020-01-04 05:45:00,184.77,,66.11,20.65,63.87,3.85,31.65
408,2020-01-04 06:00:00,179.73,,66.21,19.5,63.34,4.8,31.38
409,2020-01-04 06:15:00,178.95,,71.66,18.93,67.4,4.06,30.29
410,2020-01-04 06:30:00,178.95,,113.23,18.6,100.48,2.79,30.16
411,2020-01-04 06:45:00,178.95,,118.39,17.99,104.28,3.78,30.62
412,2020-01-04 07:00:00,195.93,,189.16,16.5,159.93,4.06,29.95
413,2020-01-04 07:15:00,198.55,,165.46,15.9,140.82,5.32,29.9
414,2020-01-04 07:30:00,198.55,,156.0,14.53,132.53,4.86,30.37
415,2020-01-04 07:45:00,198.55,,149.8,15.23,127.94,5.13,30.77
416,2020-01-04 08:00:00,203.06,,129.87,16.97,112.92,6.33,30.92
417,2020-01-04 08:15:00,203.76,,110.17,18.33,97.89,4.01,31.69
418,2020-01-04 08:30:00,203.76,,103.51,22.04,94.53,3.66,33.79
419,2020-01-04 08:45:00,203.76,,94.86,27.84,90.69,3.74,34.66
420,2020-01-04 09:00:00,196.92,,82.82,34.9,84.82,4.2,33.83
421,2020-01-04 09:15:00,195.87,,69.84,47.19,80.98,5.76,33.61
422,2020-01-04 09:30:00,195.87,,60.63,60.14,80.49,4.51,33.75
423,2020-01-04 09:45:00,195.87,,51.39,75.09,81.06,5.16,33.42
424,2020-01-04 10:00:00,216.54,,43.35,78.66,76.52,5.19,33.04
425,2020-01-04 10:15:00,219.71,,36.01,80.49,71.62,4.67,33.05
426,2020-01-04 10:30:00,219.71,,29.41,79.87,66.01,4.25,33.17
427,2020-01-04 10:45:00,219.71,,22.41,70.33,55.34,6.61,33.06
428,2020-01-04 11:00:00,226.72,,16.49,61.52,45.92,7.99,31.86
429,2020-01-04 11:15:00,227.8,,11.96,54.07,38.33,8.84,30.97
430,2020-01-04 11:30:00,227.8,,9.02,46.97,32.2,9.46,28.91
431,2020-01-04 11:45:00,227.8,,7.0,40.13,26.94,17.38,27.16
432,2020-01-04 12:00:00,210.31,,6.6,37.17,25.05,17.93,25.45
433,2020-01-04 12:15:00,207.62,,5.71,36.61,24.04,19.76,23.85
434,2020-01-04 12:30:00,207.62,,5.09,34.0,22.16,25.1,22.41
435,2020-01-04 12:45:00,207.62,,4.54,30.53,19.87,29.81,20.72
436,2020-01-04 13:00:00,,,4.47,31.59,20.37,28.61,19.26
437,2020-01-04 13:15:00,,,4.71,34.39,22.06,33.98,17.81
438,2020-01-04 13:30:00,,,3.82,30.69,19.38,39.34,16.69
439,2020-01-04 13:45:00,,,3.45,26.26,16.73,46.26,15.21
440,2020-01-04 14:00:00,150.2,,3.53,26.37,16.85,45.81,14.68
441,2020-01-04 14:15:00,150.2,,3.12,24.59,15.57,49.68,13.7
442,2020-01-04 14:30:00,150.2,,,,,54.21,12.66
443,2020-01-04 14:45:00,150.2,,,,,52.13,12.42
444,2020-01-04 15:00:00,122.73,,2.97,26.22,16.32,52.21,11.28
445,2020-01-04 15:15:00,118.5,,3.38,26.72,16.92,52.26,10.79
446,2020-01-04 15:30:00,118.5,,3.04,26.62,16.59,55.8,9.92
